title;snippet
Brexit Selloff Highlights Strength of U.S. Market;"The 3%-plus drop Friday in major U.S. stock indexes in response to the surprise British vote to exit the European Union doesn't mean the end of the long bull market dating back to 2009.

U.S. stocks remain more insulated from global developments than any other major equity market, as American companies generate 70% of revenues domestically. That compares with 58% for Japanese companies, and 49% for Europe, based on a recent Morgan Stanley report. U.S. corporate balance sheets are strong, interest rates are low, and the U.S. economy is on pace for a 2.5% expansion in the current quarter.

"
Treasury Auctions;"The Treasury Department will auction $57 billion in securities next week, comprising $26 billion in new debt and $31 billion in previously auctioned debt. Details (all with minimum denominations of $100):

-- Monday: $31 billion in 13-week bills, a reopening of an issue first sold on March 31, 2016, maturing Sept. 29, 2016. Cusip number is 912796JM2.

"
Property: City's Appetite Grows For Casual Restaurants;"Some landlords are becoming foodies.

As fast-casual restaurants, juice shops and gourmet coffee bars have been expanding their presence in Manhattan, they are finding a receptive audience not only among time-strapped, health-conscious New Yorkers. They also are attracting Manhattan building owners looking to boost the appeal of their office and residential towers, according to industry experts.

"
Chinese Pharmaceutical Company Aims for More Than $1 Billion From Hong Kong IPO, Source;"China Resources Pharmaceutical Group Ltd. has filed for an initial public offering in Hong Kong that could rank it among the biggest healthcare-related deals expected this year in Asia.

The company, the pharmaceutical arm of one of China's biggest conglomerates, is looking to raise more than $1 billion and could potentially list shares as soon as September, according to a person familiar with the matter.

"
Markets Speculating on European PIGS: Broker -- Brexit Market Talk;"0528 GMT [Dow Jones] Speculation in the markets will increasingly focus on the weakest links in the European Union post ""Brexit,"" says Angus Nicholson, an analyst at IG Markets. ""The PIGS (Portugal, Italy, Greece, Spain) are likely to fall under the intense focus of speculators again,"" he says. Spain has elections on Sunday and the Brexit vote will likely have a major influence on its outcome, Mr. Nicholson says. There is also increased speculation that the Bank of Japan will be forced to intervene to stem the yen's strength, particularly given that it at one point broke 100--a red line for the Bank of Japan, he says. (kenan.machado@wsj.com)

Editor: TFD

"
A Business Trip Works When the Family Tags Along;"When a business trip is to a fantastic destination, it can be tempting to bring your family along. But being at your professional, productive best and keeping your children entertained are goals that can clash.

Guido Polito, CEO of the Milan-based Baglioni Hotels, which has high-end hotels in Italy, France and the Maldives, says the combination can work well with the proper planning. He travels almost every week for work, and he often brings along his wife and sometimes their 6-year-old son. ""I travel so much it's quite nice when I can combine these two things,"" he says. For example, this summer he took a trip to New York City with his wife, son, parents and mother-in-law.

"
Williams Cos. Fights to Save Deal With Energy Transfer;"Williams Cos. faces an uncertain future as its shareholders meet on Monday to vote on a merger with pipeline rival Energy Transfer Equity LP that may already be dead in the water.

The company is still recommending that its investors vote in favor of the takeover by Energy Transfer, even though a Delaware judge ruled Friday that Energy Transfer can get out of the deal after its lawyers said they had discovered negative tax consequences.

"
U.S. News: Immigrant Bail Policy Reviewed;"WASHINGTON -- The Supreme Court on Monday agreed to hear a Justice Department appeal of a 2015 lower-court decision requiring bail hearings for immigrants who have been in detention for at least six months awaiting deportation proceedings.

However, the American Civil Liberties Union -- which won a lower-court ruling requiring bail hearings after six months -- said recently disclosed hearing records show aâ€‹2003 high-court precedent the Justice Department cited to bolster its case was partly based on government-supplied information that understated the length of immigration detentions.

"
HK's Timeless Software Goes From Furore to Fizzle in 1 Session -- Market Talk;"0435 GMT [Dow Jones] Investor euphoria over Timeless Software (8028.HK) has abated with the stock trading almost flat at HK$0.10. Shares in the Hong Kong-based software company rose as much as 8.7% earlier in the Thursday morning session after it reported that its loss for the just-ended financial year has narrowed since last year. For the year that ended in March, net loss per share narrowed to HK$0.96 from HK$1.90, the company's filing late Wednesday showed. This despite a HK$1.74 million loss from a fair value change in investments in the past year and a HK$200,000 one-time gain in the financial year that ended in March 2015. The stock's 90-day alpha, or the stock's gains over and above the broader market, is at 0.21. This means that for ever 1 point gain for the Hong Kong share market, Timeless Software has risen 1.21. A word of caution, though.

"
Xerox to Name Jeff Jacobson to Succeed Ursula Burns as CEO;"Xerox Corp. has tapped insider Jeff Jacobson to lead its core copier and printing business after the company's split later this year, leaving the top job at its namesake business in familiar hands, according to a person familiar with the matter.

Mr. Jacobson will succeed Ursula Burns, who said earlier this year she would step aside as CEO but remain chairman of the copier business. Xerox plans to split itself into one company focused on its core documents business and a second called Conduent Inc. that provides outsourcing services.

"
How the Red Cross Killed Non-Lethal Weapons;"'We had to destroy the village to save it."" That quote from an American officer during the Vietnam War was used to great effect by the antiwar movement of the 1960s. It comes to mind after the recent battle for Ramadi in which the Iraqi army and its associated militias, backed by American air power, virtually leveled the city to liberate it from Islamic State, or ISIS. Ramadi was held by fewer than 300 ISIS fighters, but retaking it involved a massive assault by thousands of Iraqi security forces.

Now a bloody battle to retake Fallujah from ISIS is under way, and the tens of thousands of men, women and children unlucky enough to be trapped are being used as human shields. Meanwhile, those lucky enough to escape are overwhelming aid agencies. There are better ways to conduct urban combat than to flatten entire city blocks, but they won't be employed in Iraq.

"
Morgan Stanley Says No Plans to Move Employees From U.K.;"Morgan Stanley's top executives moved Friday to quell rumors the Wall Street firm would move employees from its U.K. offices in the wake of that country's historic vote to exit the European Union.

""Despite inaccurate media reports, we have no plans in place to move staff out of the U.K. and will only consider adjustments to our operating model in [Europe, the Middle East and Africa] as the full impact of the referendum outcome becomes more clear over the course of the next two years,"" James Gorman, the firm's chairman and chief executive, and Colm Kelleher, its president, wrote in a memorandum to employees.

"
RBC Now Thinks US Auto Sales May Have Peaked -- Market Talk;"8:50 ET - RBC changes its opinion to now believing 2015 was the peak for now in US new-vehicle sales, trimming estimates through 2018 to project 1% declines both this year and next and a 2% drop in 2018. This as the investment bank's dealer survey this month show a noted downtick in optimism versus May. Then, 13% of respondents said their view about the coming 6 months had gotten ""significantly more optimistic."" It was zero for June. Meanwhile, 6% said their 6-month view this month got ""significantly more pessimistic""; none held that perspective in May. Some have been concerned for months that demand for new vehicles may have topped out last year amid a muted (though still stronger than 2015) start to 2016. June sales data come Friday. (kevin.kingsbury@wsj.com; @kevinkingsbury)

(END) Dow Jones Newswires

"
US Conference Board: May Leading Index -0.2%;"*US Conference Board: May Lagging Index +0.3%

*US Conference Board: May Coincident Index Unchanged

"
Chinese Banks Warn Customers Over Escalating Vote-Linked FX Risks -- Brexit Market Talk;"0553 GMT [Dow Jones] Notices issued by several Chinese banks to their customers ahead of the result of the U.K. referendum, warn of escalating risks in foreign-exchange and precious metal markets on Friday due to the vote. The notes say the gap between the rates offered by the banks and market spot rates will likely be wider due to rising volatility and shrinking market liquidity. Bank of China Ltd. says in its note that it may take steps to limit trading. China Citic Bank Corp. says stop and limit orders, which allow investors to set minimum and maximum prices at which they buy or sell foreign currencies, may not be executed at the set prices. Chinese lenders say these measures will be removed once markets stabilize. (grace.zhu@wsj.com)

Editor: PJK

"
Lifeline for Beaten-Down X-Ray Co American Science -- Market Talk;"7:20 ET - Shares of American Science and Engineering (ASEI) have been more than halved the past 2 years while the X-ray system maker for defense and law-enforcement purposes reported a string of below-consensus results. Investors are getting bailed out a bit today as electronic-systems maker OSIS will pay some $187M, or $37/share, for ASEI. That company's stock was at $70 in mid-2014 and $50 last spring before bottoming in February at less than half that. Shares have bounced 43% since to $32.34. Meanwhile, OSIS CEO Deepak Chopra calls buying ASEI ""the most-significant security acquisition in our company's history."" OSIS, whose shares have tumbled 41% this year and are inactive premarket, is also in the healthcare and aerospace segments. (kevin.kingsbury@wsj.com; @kevinkingsbury)

(END) Dow Jones Newswires

"
Twilio Pricing Signals Optimism For Tech;"Twilio Inc. raised more than it expected in its initial public offering, an optimistic sign for the dozens of other technology companies that have been valued at more than $1 billion in private fundraising.

Shares in the San Francisco company's IPO priced at $15 apiece, raising $150 million by selling 10 million shares, the company said in a release late Wednesday.

"
Will Elon Musk's Fans Save Tesla Deal? -- Heard on the Street;"An icy reaction to a solar deal caused a tough week for Tesla Motors. That doesn't mean the offer is doomed.

The initial surprise from Tesla's all-stock bid for solar-energy startup SolarCity, announced last week, has worn off. The focus now turns to shareholders, who must vote on the transaction.

"
U.S. News: College Diversity Plan Upheld;"WASHINGTON -- A divided Supreme Court on Thursday upheld racial preferences in public-university admissions, a defeat to a yearslong conservative drive to roll back affirmative action.

Writing for a 4-3 court, Justice Anthony Kennedy found that the University of Texas at Austin's challenged plan, which gave a ""plus factor"" to certain black and Hispanic applicants, passed constitutional muster as a method to attain student diversity.

"
Mergers and Suspicions: China in the U.S.;"As anyone who reads the financial pages knows, mergers and acquisitions involving Chinese buyers are increasingly common: From April 2014-15, 28 deals worth at least $1 billion took place, up from two in 2005, according to the M&A manager Dealogic. The deal volume in 2015 reached $735 billion, nearly three times the total two years earlier.

Yet suspicions about Chinese motivations linger in some quarters, along with a myopic focus on the small share of deals, 8.5%, that fail. It would be wise to discard this paranoia and instead judge Chinese buyers by the success of their investments, their behavior as competitors and their conduct as foreign owners.

"
Tesla Bull Cuts Rating Following SolarCity Offer -- Market Talk;"10:25 ET - Morgan Stanley analyst Adam Jonas, who at one point in 2015 said Tesla (TSLA) should be worth $465 a share, double its price at the time, is falling out of love with the company. Following TSLA's offer to purchase SolarCity (SCTY) for up to $2.8B, Jonas cut his rating to equal weight from overweight and reduced his price target to $245 from $333. He said the risks to TSLA outweighed any sort of benefit. Jonas had been growing more cautious on TSLA over the past year as its cash burn rose and the company failed to follow through on a car-sharing platform that had driven some of his lofty valuation. TSLA shares plummeted more than 10% Wednesday and started Thursday down another 1% following his downgrade. (mike.ramsey@wsj.com; @mramseywsj)

(END) Dow Jones Newswires

"
BOJ Negative Interest Rates Forcing Rethink at Japan Pensions -- Market Talk;"0749 GMT [Dow Jones] Half of Japanese pensions plan to change or are thinking of changing their investment strategies after the BOJ introduced a negative interest rate policy, according to an annual survey of 127 funds by JPMorgan Asset Management. Among the surveyed, 9% said they planned to change their investment strategy, such as investing in infrastructure or buying foreign bonds hedged against foreign currency risk instead of buying domestic bonds. Some 40% said that they were considering changing their strategy. A third of the respondents said that the negative interest rate policy had had a large effect on the investment environment, such as by pushing down superlong bond yields. (eleanor.warnock@wsj.com)

Editor: JFN

"
CVS will expand its healthier foods initiative to more than 2,900 stores;"CVS Health Corp. (CVS) said Tuesday it was expanding its healthier foods and beverages initiative to more than 2,900 stores. This expands the pilot program of 500 stores launched in 2015. The company said starting this summer, about 25% of front checkout space will be dedicated to snacks including KIND bars, Larabars and Vega One bars, rather than traditional candies. Stores will also include displays supporting dietary preferences such as paleo, raw and vegan. The stock, which was still inactive in premarket trade, has lost 4.6% year to date, while the S&P 500 has gained 1.9%.

-Tomi Kilgore; 415-439-6400; AskNewswires@dowjones.com

"
"White Shoes Put Buyers on Smudge Patrol --- Pristine look calls for baby wipes; Stan Smith is baffled";"LOS ANGELES -- In the never-ending race to create the world's most impractical fashion trend, a new entrant is hitting the streets: the all-white designer sneaker.

Pristine white sneakers are showing up on the feet of the fashion elite, from Saint Laurent's $545 Yeah Baby court classic to Tom Ford's white python tennis shoe at $2,490. White-out special editions from athletic companies are hot, too -- the more retro, the better.

"
Arts in Review -- Music: With as Much Craft as Power;"Brooklyn, N.Y. -- As demonstrated on its newest album, ""By Default"" (BMG), Band of Skulls plays with unmitigated authority in a style mined by the Black Keys, Jack White's various projects and other contemporary blues-based groups. In concert, it works at maximum volume as Russell Marsden demonstrates he could be an old-school guitar god if he chose to.

But on Sunday, drummer Matt Hayward, Mr. Marsden and bassist Emma Richardson came from Southampton, England, to Rough Trade here and performed ""unplugged"" for an audience of about 60 people. In a seven-number, 30-minute set, the trio revealed that song craft as much as power is essential to its excellence.

"
JD.com's Alliance With Wal-Mart Is Credit Positive: Lucror -- Market Talk;"0241 GMT [Dow Jones] Research firm Lucror Analytics says Chinese online retailer JD.com's (JD) strategic alliance with Wal-Mart (WMT) is credit-positive. The two companies announced overnight that, as part of an agreement reached, JD.com would take ownership of the Yihaodian marketplace platform from Wal-Mart in an all-share deal. JD.com would issue shares amounting to about 5% of its total shares to Wal-Mart in a deal worth about US$1.5 billion. The two companies also plan to cooperate on the direct-to-retail part of Yihaodian's business. Lucror says the deal could help to enlarge JD.com's business offering. JD.com could also benefits from the retail expertise from Wal-Mart in warehousing, distribution, and efficiency in general. However, Lucror maintains a hold rating on JD.com bonds. ""Our credit bias is slightly negative, due to the fast evolving business model and tough competition,"" Lucror says. (carol.chan@wsj.com)

Editor JSM

"
USD/JPY May Lack Direction As Investors Cautious After Brexit Vote -- Market Talk;"2257 GMT [Dow Jones] The USD/JPY (now at 102.21) will likely remain directionless during Asia trade, with investors still feeling the heat of wild gyrations Friday following the U.K. vote, says Akira Moroga, manager of forex products group at Aozora Bank. Fresh from the JPY's steep rise and Tokyo stocks plunge Friday after the unexpected U.K. decision to leave the EU, investors likely remain cautious to take new positions, says Moroga. ""Investors will likely take a wait-and-see stance for two-three days,"" says Moroga, who tips the USD/JPY to move in a relatively wide 101-103 range today. The EUR/USD is tipped in a 1.100-1.115 range and is now at 1.1068. (hiroyuki.kachi@wsj.com)

(END) Dow Jones Newswires

"
'Brexit'-Boosted Yen Complicates Japan's Recovery;"TOKYO -- Japan has emerged as a victim of the fallout from the U.K.'s vote to leave the European Union, with Prime Minister Shinzo Abe's government and the central bank facing the most serious crisis yet in their 3 1/2 -year campaign to revitalize the economy.

The Bank of Japan had already been struggling to bolster the economy through measures that relied heavily on cheapening the yen to support corporate profits, much of which are earned abroad.

"
Election 2016: Clinton Hits Rival's Economic Proposals;"COLUMBUS, Ohio -- Hillary Clinton called Donald Trump's economic policies and private-sector practices reckless and wrongheaded, and warned Tuesday that the presumptive Republican presidential nominee could ""bankrupt"" the country if elected.

Mrs. Clinton also sought to undercut Mr. Trump's argument that his business acumen would be a boon for the economy. She cast the New York real-estate developer as an unscrupulous deal maker who has profited at others' expense.

"
Chinese Footwear Retailer Rebounds After Massive Selloff -- Market Talk;"0227 GMT [Dow Jones] Shares of Stella International (1836.HK) recoup some of its losses after the massive selloff over the last two days. The stock is up 1.5% at HK$13.40, following a 26% slump in the past two days after the company warned investors that its first-half net profit would ""decrease considerably"". Daiwa slashes its target price by 21% after revising its earnings forecasts. Yet it upgrades the footwear retailer to an outperform from hold as it believes the stock is oversold. ""If the stock remains at this level, we believe there is a high likelihood the company will repurchase shares given its US$168 million net cash balance,"" it adds. (joanne.chiu@wsj.com, Twitter: @joannechiuhk)

Editor: JFN

"
In or Out, Vote Will Alter EU;"BRUSSELS -- If the U.K. decides in Thursday's referendum to leave the European Union, it would shake the continent to its political foundations. Even if it stays, the bloc may never be the same.

A decision to leave, which would be a first by a member nation, would deepen the crisis facing a continent already struggling with economic weakness, debt problems, large-scale migration and growing geopolitical instability to its south and east.

"
Business News -- The Week Ahead: Nike's Run Faces a Difficult Climb;"Athleisure might be the style trend of the moment, but looking sporty might not be enough for Nike Inc. when it reports fiscal 2016 results Tuesday.

Analysts have adopted an unusually bearish tone toward Nike with at least four firms downgrading its stock within the past two months. Among concerns: whether Nike's North American business can continue to post sales growth amid rising inventory and supply-chain stumbles, according to reports from Morgan Stanley and Cowen & Co.

"
In 'Brexit' Poll, 52% Back Remaining in EU, 48% Back Leaving;"LONDON -- An opinion poll released Thursday just after U.K. voting booths closed gave the campaign to stay in the EU a narrow lead over those lobbying to leave.

52% of respondents backed remaining in the European Union while 48% supported leaving the bloc, according to the online poll conducted by YouGov PLC. The survey, which was conducted Thursday, comes hours before the result of the referendum is expected to be declared. Unlike in a general election, there will be no exit polls.

"
Chinese Premier Calls For Reasonable Monetary, Loan Growth;"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
World News: Court Rejects Challenge to ECB Bond Program;"FRANKFURT -- Germany's top court ruled that an unlimited bond-buying program created by the European Central Bank at the height of Europe's debt crisis complies with German law, ending a yearslong legal challenge to a program credited with easing fears of a breakup of the currency zone.

The verdict on Tuesday is an important victory for ECB President Mario Draghi over his German critics at a time of renewed tensions between the ECB and its biggest shareholder, Germany.

"
Scottish Turnout Lower Than Many Pro-EU Backers Had Hoped -- Brexit Market Talk;"Voter turnout in Scotland, where the Scottish National Party had strongly backed remaining in the EU, is lower than many pro-EU supporters had hoped, potentially denting the 'Remain' camp's chances. Scots were expected to vote in droves. In the 2014 Scottish independence referendum, 85% of Scots voted. And while Scots so far are backing 'Remain', turnout has been less impressive. Some 56% of people cast votes in Glasgow. So far, only two counting centers in Scotland have reported turnout above 70%. The result: the 'Remain' camp is increasingly counting on London. (max.colchester@wsj.com)

(END) Dow Jones Newswires

"
Sterling Gains Boost Australian, NZ Dollars -- Brexit Market Talk;"0925 GMT Sterling extends gains after opinion polls show greater support for remaining in the EU ahead of Thursday's U.K. referendum, rising 0.6% to $1.4768. This is just shy of the early May high around $1.4771, according to Factset data, above which would mark the pound's highest level since the start of the year. As Brexit fears ebb so risk sentiment improves, lifting equities and riskier currencies. This helps the New Zealand dollar rise to a one-year high of $0.7161 and the Australian dollar rise to a seven-week peak of $0.7506, according to Factset. (jessica.fleetham@wsj.com)

Contact us in London. +44-20-7842-9464

"
Macy's CEO Lundgren to Step Down Next Year;"Macy's Inc. Chief Executive Terry Lundgren will step down from that role next year, as the company struggles to adapt to changing consumer demands.

Company President Jeff Gennette will take over as CEO, a move the company said was part of its succession plan. Mr. Lundgren, who has been CEO since 2003, will remain chairman.

"
GreaterChina Professional Stock Jumps After Profit Warning -- Market Talk;"0411 GMT [Dow Jones] Shares in GreaterChina Professional Services (8193.HK) are posting a sharp recovery to trade up 5.1% at HK$0.83, even after the services company issued a profit warning through a filing late Wednesday. The upside to the warning was that GreaterChina expects the loss for the financial year that ended in March, to narrow by about 98% compared to last year. The drop in loss is due to a decrease in impairment losses on trade receivables and investments in an associate company amounting to HK$75 million and HK$27 million respectively, the filing said. (kenan.machado@wsj.com)

Editor JSM

"
Shenzhen Metro Deal Credit Positive for Vanke: Moody's -- Market Talk;"0749 GMT [Dow Jones] Moody's says China Vanke's (2202.HK) proposed asset acquisition from Shenzhen Metro is credit positive as it will further strengthen Vanke's market position in Shenzhen via an expanded land bank. However, there is no immediate impact on Vanke's Baa1 issuer rating or its stable outlook. Vanke over the weekend announced a 45.6 billion yuan asset-swap with Shenzhen Metro, which will hold a 20.7% interest, the largest single stake, in the listed company after the deal. The assets Vanke will buy include land parcels in the Nanshan district of Shenzhen with total gross floor area of around 1.8 million square meters. The new equity issuance, representing 7.5% of Vanke's total assets and 33.5% of total equity (including minority interests) at end-2015, will strengthen the company's balance sheet and reduce the debt needed to fund the projects acquired from Shenzhen Metro, says Moody's. (carol.chan@wsj.com)

Editor JSM

"
MARKET TALK: Fujian Dongbai (Group) Co. Up 1.12%;"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
Heard & Scene: An Evening of Selfie Moments With Dinosaur Topiary;"These days, if you throw a party and nobody posts something about it on social media, did it even happen?

When you walked into a swinging, packed event at the Top of the Standard to celebrate the third season of ""Power"" on Wednesday night, there were bright selfie-ready marquees reading ""Power"" and ""Starz,"" its home network, placed for well-framed photo captures.

"
OFF DUTY --- Adventure & Travel: Driven to Distractions --- A well-curated road trip app and website can steer you to worthy pit stops -- even on the dreariest drive;"""How soon until cars drive themselves?"" That's what I think to myself whenever I make the trip from New York City down to Baltimore. I love to drive, but this journey is a 3.5 hour, 200-mile slog mostly through New Jersey and I take pride in doing it efficiently. Prime example: I've identified the parking spot at my usual New Jersey Turnpike rest stop that's equally close to the bathroom and the on ramp. Such unromantic planning is usually reserved for bank robbery getaways.

"
A Natural Turnaround;"Apart from Whole Foods Market (ticker: WFM), there are few sizable pure plays in organic foods. United Natural Foods (UNFI) is one, and it looks like an attractive turnaround tale. With a $2.3 billion market cap, the Providence, R.I.–based firm, the largest distributor of such products in the U.S., is about one-third Whole Foods' size.

UNF shares have bounced from a February low of $30, but at a $45 close Friday, they remain well below last year's high of $83. Part of the drop reflects investors' general disaffection with organic-food companies, whose growth has slowed as traditional grocers have added healthier offerings. And the firm lost a big customer last summer—Albertsons, which had accounted for some 5% to 6% of sales.

"
"Gold Investors Single-Minded for Now; But Rally Looks Tired: HSBC -- Brexit Market Talk";"2356 GMT [Dow Jones] Gold traders have only one thing on their minds. ""The gold market's focus will remain on the EU referendum until the results are known,"" says HSBC, as results trickle in for the U.K.'s referendum. ""Gold tends to be a well-regarded barometer of geopolitical risk and may be utilized heavily by investors in the wake of the referendum,"" it says. Once the after-effects pass, though, there's a good argument to say gold is overbought, insists the bank, given Comex long positions are near record highs and ETF holdings have risen sharply this year. ""Looking beyond the referendum, the gold rally is beginning to look tired,"" HSBC says. Spot gold trades up 0.8% at US$1,266.60 per ounce. (rhiannon.hoyle@wsj.com; Twitter: @RhiannonHoyle)

Editor: JFN

"
Barack Obama Says U.S. Respects 'Brexit' Vote, 'Special Relationship&amp;"By Carol E. Lee

WASHINGTON -- President Barack Obama said the U.S. respects Britain's decision to leave the European Union, an outcome he had personally campaigned against during a trip to London in April.

"
Britain's EU Decision: Prospects for Early Fed Rate Increase Recede;"Market mayhem and the strengthening dollar following Britain's decision to leave the European Union make it increasingly likely the Federal Reserve will delay plans to raise short-term interest rates.

Officials just a few weeks ago were looking at a move by their July 26-27 policy meeting. That now looks highly unlikely and a move at subsequent meetings becomes less likely, too, at least until it becomes clearer how events will affect the U.S. outlook.

"
P-E Firms' US Investments Hit 8-Year High in 2015 -- Market Talk;"12:18 ET - Private-equity firms invested some $626.2B in the US last year, 1.2% higher than 2014 to reach the highest level since 2007's $915.6B, according to the American Investment Council. The industry lobbying group, formerly known as PEGCC, notes Illinois companies got the biggest slice at $94.6B amid the 3G Capital-backed merger of Heinz with Northfield-based Kraft (KHC). By sector, consumer companies drove 32% of P-E deal volume--helped by KHC's creation, Safeway's $7.6B buyout by Cerberus-backed Albertsons and the BC Partners-led purchase of PetSmart. (matthew.jarzemsky@wsj.com)

(END) Dow Jones Newswires

"
"AWSJ Tremors Rattle Markets Again --- U.S., European stocks weighed down by 'Brexit'; sterling hits lowest in decades";"Losses deepened in U.S. and European stocks Monday, as the U.K.'s vote to leave the European Union continued to shake financial markets.

The British pound fell to a three-decade low and the pan-European stock index suffered its worst two-day decline since 2008. Investors bought haven assets like government debt, sending the yield on the 10-year U.K. government bonds below 1% for the first time and 10-year Treasury yields to their lowest level since 2012.

"
A Rival to Bitcoin Is Gaining Steam;"With a rising market value and a roster of high-profile patrons, Ethereum in recent months has become the next hot thing in cryptocurrencies.

Ethereum is an open software platform, comprising a currency called ether, a public ""blockchain"" ledger for keeping track of transactions and tools for building so-called smart contracts that automatically make payments when their terms are fulfilled. Anyone can develop applications that make use of its code.

"
Your Health: For More Children, Puberty Signs Start at 8 Years Old;"When Frank Biro walks into to a class of second- or third-graders these days, there are almost always a couple of girls who look different than the rest.

""There will be quite a few girls that look like they're going into early puberty,"" says Dr. Biro, a professor of pediatrics at Cincinnati Children's Hospital Medical Center who gives talks about puberty at schools occasionally.

"
China Industry Operating Profits Data;"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
Declarations: Donald Trump Is No Ronald Reagan;"It was at dinner a month ago in a Manhattan restaurant. Old friends who live far apart had come together on a leisurely spring night. But it turned testy fast.

I note here that the style of anti-Trumpers is often highhanded and manipulative, while the style of pro-Trumpers can be brutalist and patronizing. One couple, my old friends, had been for Marco Rubio and then John Kasich and were now enthusiastically for Donald Trump. Last year they hadn't liked him, but now they thought wait, he's the donkey we need to knock over the barn.

"
Brexit Vote Will Be a Negative for Rated UK Entities, Moody's Says;"The UK's decision to leave the European Union will lead to a prolonged period of uncertainty that will weigh on the country's economic and financial performance and will be credit-negative for the UK's sovereign debt and other rated UK entities, Moody's Investors Service says in a report published on Friday.

The report is a research update to the markets and doesn't contain any credit-rating actions.

"
U.S. News: Texas Leads Legal Revolt Against Obama's Agenda;"DALLAS -- When a deadlocked Supreme Court on Thursday blocked President Barack Obama's plan to give millions of illegal immigrants a temporary reprieve from deportation, it marked a pivotal victory for the administration's most relentless legal adversary: the state of Texas.

The president ""is not a king who can unilaterally change and write immigration laws,"" responded Republican Texas Gov. Greg Abbott, whose myriad lawsuits against the Obama administration, including the state's lead role in the immigration case, have been a trademark of his political career.

"
Corruption Probe Nabs NYPD Officers --- Senior police officials allegedly took bribes from a businessman who has ties to mayor;"Three New York City police officers and a Brooklyn businessman involved in Mayor Bill de Blasio's fundraising efforts were arrested Monday, the latest fallout from a wide-ranging municipal corruption probe that has touched the upper ranks of the NYPD and rattled City Hall.

Federal prosecutors outlined a network of bribery and favor-trading between top law-enforcement officials and politically connected members of the city's Orthodox Jewish community who paid for lavish trips, prostitutes and other gifts in exchange for what U.S. Attorney Preet Bharara described as ""cops on call.""

"
ASIA DAILY FOREX OUTLOOK: Predicted Ranges;"The following are projected trading ranges and outlooks for nine major currency pairs today:

Immediate Range Larger Range

"
U.S. News: Upper Middle Class Sees Big Gains;"A range of data after the recession and the housing bust supported the idea that only a tiny elite of U.S. society, generally seen as the top 1%, had rebounded and was doing well.

But a growing body of evidence suggests the economic expansion since the 2007-2009 financial crisis has enriched a much larger swath of the upper middle class, and that a deeper income divide is developing between that top quarter or so of the population and everyone else.

"
ECB May Have to Front Load QE, OMT Less Likely -- Brexit Market Talk;"0639 GMT The ECB may have to front load its large-scale bond purchase program in response to Britain's vote to leave the EU, says HSBC economist Janet Henry in a note. She says a split between northern and southern Eurozone countries might make it hard for the eurozone to agree on a ""narrative"" going forward. ECB head Mario Draghi ""will have to paper over the cracks, most likely by front loading the QE programme. If peripheral spread widening is too great, there are the Outright Monetary Transactions but this would have to be activated at the request of a country, and no government wants the Troika back on their doorstep in this environment,"" she says. (todd.buell@wsj.com, @ToddBuell)

Contact us in London. +44-20-7842-9464

"
China Airlines Up Despite Grounding Most Flights Amid Strike -- Market Talk;"0222 GMT [Dow Jones] Shares of China Airlines (2610.TW) are up 1.0% even as Taiwan's largest carrier by fleet failed to prevent a strike by its cabin crews. The stock is up 0.5% at TWD10.10 in mid morning session. More than 1,000 China Airlines flight attendants protested outside the carrier's office in Taipei city from midnight Friday in a dispute over pay and benefits. A spokeswoman of the flight attendant union, which has around 2,600 members, says it remains uncertain for any breakthroughs with the management. A new policy by China Airlines requires cabin crews to report for duty in Taoyuan, which involves an hour-long bus rise from Taipei, effectively reducing the clock-in hours and benefits. The carrier cancelled a total of 18 arriving and departing flights between Hong Kong and Taiwan's Taipei, based on data provided by Hong Kong International airport. (joanne.chiu@wsj.com, Twitter: @joannechiuhk)

Editor: KLH

"
Fashion Feeds a Recycling Network --- Clothes discarded in rich nations end up in developing world for resale or reprocessing;"KANDLA, India -- As heaps of castoff clothes from the U.S. cascade down a conveyor belt, rows of sari-clad women frantically sort the garments by type -- T-shirts in one barrel, women's jeans in another. They pluck out sweatpants, underwear, sweaters, coats, and even furs.

The jumble is part of the thousands of tons of used clothing that arrive each month in this western Indian port, a hub in the vast global network that purchases secondhand clothes in rich countries and resells them throughout the developing world.

"
Brexit Will Be a Boon for Chinese M&A: Macquarie -- Market Talk;"0155 GMT [Dow Jones] The impact of Britain's exit from the European Union will be limited in China since just 1%-3% of Chinese exports go to the UK, says Macquarie. The prospects for Chinese M&A are even more positive: ""Traditionally, compared with the U.S. and Japan, European companies are more friendly to Chinese money,"" writes Larry Hu, economist at Macquarie. In the past few months, there's been a flurry of Chinese buying of European companies including Syngenta, Supercell, and Club Med. A Brexit that weakens the pound and euro will make future purchases easier, the house says. Meanwhile, the impact on economies and markets will be more uncertain. If that is the case, Chinese markets could be impacted by overall lower global risk appetite, Hu says. (anjie.zheng@wsj.com; Twitter: @anjiezheng)

Editor JSM

"
Yuan Keep Rise;"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
